"Product List - Marketing    (all active SP# , ie. SP Del State = UNDEFINED; without IRHIR; including Cypress)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;visits since 2014-05-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;0;;;;0;0;0;0;23.282;176.145;2.186.858;10.062.513;26.732.272;42.708.023;65.144.689;89.170.336;12.189.037;41.128.461;136.903.315;109.609.658;;;;;;;;;;
data source;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MTB0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSPLFL;DSPLFL;;DSPLFL; ; ;DSPLFL;; ;DSPLFL;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;DSPLFL;DSPLFL;;;;;DSPLFL;DSPLFL;;DSPLFL;DSPLFL;;;;;;;;;;;;;;;;;;;;;DSPLFL;;;;;;;;;DSPLFL;DSPLFL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Catalogs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSMP;DSMP;;DSMP;DSMP;DSMP;DSMP;DSMP;DSPLFL;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;;DSMP;DSMP;DSPLFL;DSPLFL;DSPLFL;;DSMP;DSMP;;DSMP;DSMP;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002;MTB0002; ;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSPLFL;DSMP;DSPLFL;DSPLFL;DSMP;DSPLFL;DSPLFL;DSPLFL;DSPLFL; ;DSMP;DSMP;DSMP;CY-PMD-Converter;xxx;DSMP;DSPLFL;DSPLFL;DSMP;DSMP;DSMP;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;;upload ;upload ;upload ;upload ;upload ;DSMP;DSMP;;DSPLFL;DSPLFL;DSMP;DSPLFL;DSMP;DSMP;;DSMP;MTB002;DSMP;MTB002;xxx;DSPLFL;MTB002;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;DSPLFL;Catalogs;Catalogs;DSPLFL;DSPLFL;DSPLFL;DSPLFL;;DSPLFL;xxx;xxx;xxx;xxx;xxx;xxx;DSPLFL;DSPLFL;DSPLFL;xxx;xxx;xxx;xxx;xxx;DSMP;DSPLFL;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DSMP;DMOP;DMOP;DMOP;DMOP;DMOP;DMOP;DMOP;DMOP;DSMP;DSMP;DMOP;MTB0002;MTB0002;MTB0002;;upload ;upload ;upload ;upload ;upload ;upload ;upload ;upload ;upload ;upload ;upload ;DMOP;DMOP;DMOP;DMOP;DMOP;;;xxx;xxx;xxx;xxx;xxx;xxx;xxx;
restricted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;--without IR ----------;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sort;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;*  maintained either by PPOS or by RFP;;;;;;;;;;;;Cypress package codes will show up in April 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;------------------------------   without archived SP#  -----------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;----------------------------------------------------------------------   without archived SP#  ------------; ;;;;;;;;;;;;
info;list;info;list;info;info;info;;info;info;;info;;info;info;info;list;list;info;info;info;info;info;info;info;info;info;info;info;info;list;info;;info;info;info;info;info;;info;info;;;info;;info;info;;info;info;info;info;;info;;info;info;;info;info;info;;info;info;info;info;info;info;info;info;info;info;info;;info;info;info;info;;info;info;info;info;;info;info;info;info;info;info;info;;info;info;info;info;;;;;info;info;;;info;info; ;info;info;info;info;;info;;info;;info;info;info;info;???;info;info;info;info;info;;info;;;info;info;info;info;info;info;info;info;info;info;;info;info;info;;info;;;;;;;info;info;info;;info;info;info;info;info;info;info;info;info;list;info;info;info;info;;info;info;info;info;info;info;;info;;;info;;; ;;;; < ------ without IR  ;  including IR  ---- > ;;;;;; < ------ without CY  ;  including CY  ---- > ;;;;;;;;;;;;;;
DSMP, DSPLFL, MTB002, DMOP  extract: 2022-11-17  04:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIV;BL;Entreprenuer Code;PL;PL Desc;PG Segment;HFG;PL_HFG;HFG Description;FGR;PL_FGR;FGR Description;FGR Description long;WSTS 1;WSTS 2;WSTS 3;SCP;SCP-2;AE Contact;Marketing Contact;PRE Contact;PRM Contact;PRS Contact;QM Contact;SCM Contact;TE Contact;Basic Type (max);Basic Type (min);Package (max);Package (min);ASSY Loc (max);ASSY Loc (min);PPOS;PPOS Planner;PPOS Type;PPOS;Basic Type Group (PPOS);Package (PPOS);RFP;RFP Code;RFP Product;.Del State (RFP);.Del State Date (RFP);Quality Requirement Category;PR;PR#;Price Product;SAP CRM;Core Product;CRM Flag;Disti Flag;NC Flag;NR Date;NDA required;PM Approval Flag;Product Classification Published (This Quarter);Standard Delivery Time [w];Package (CRM);Completely Pb-free;RoHS Compliance;Halogen-free;ISPN;ISPN Hierarchy Level1;ISPN Hierarchy Level2;ISPN Hierarchy Level3;ISPN Hierarchy Level4;ISPN Hierarchy Level5;ISPN Hierarchy Level6;ISPN Hierarchy Level Count;ISPN Hierarchy Node;Internet Sales Product Name;Internet transfer flag;Buy Online Active Date;Hide OPN details;Internet Package Name;Package Material;Package Category;Package Lead A;SP;Sales Product Name;SP#;OPN;MPN (Cypress);MPN diff to SPN;MD Process ;Product Status Info;Product Category;US Gov. Part;Green Flag;Completely Pb-Free Flag;Halogen-Free Flag;Package (SP#);Del State (SP#);.Del State Date (SP#);.Del State Year-Month (SP#);.Del State Year (SP#);SW Biz Model;SW Product Description;FP;FP assigned;# of active planning-only products;# of active engineering samples (SA#);# of active products (MA#);# of archived products (MA#);Q Status (max);first M9 release date (by SPN);Packing;Large Packing Unit [pcs];Min Order Factor;Min Shipping Factor;Functional Packing;Moisture Protection;Trademark on BPL (max);Additional Info;Product Discontinuation Note;Last Registration Date;Last Order Date   (PGS-PL) (a);Last Order Date   (SAP CRM)  (b);LOD (a) - LOD (b)   [days];Last Delivery Date;Replacement Product;Customer Info;Product Status Info;Additional Product Info;Nearest Equivalent / replaced by;Functional Safety Classification;Attributes;Application *;Line Concept BE;Line Concept FE;Main Family *;Marketing Name *;Planning Method;Product Family *;Product Maturity;Project *;Technical Parameter;Package Name Marketing  (by SP#);Package Name Marketing (by PKN);Cypress Package Code;( no more reporting );HPPOS;PPOS Description;RFP Deletion Remark;IFRS;IFRS Reason ;Today different from (P);IFRS Reason (P)  2022-08-03;(P) different from (O);IFRS Reason (O)  2022-01-12;(O) different from (N);IFRS Reason (N)  2021-07-03;IFRS Reason Details;IFRS Contract Expiry Date;SP Remark;IFRS Reason - PGS same as Formula ?;IFRS Reason  (formula);IFRS Reason Details (formula);IFRS-Candidate (formula);IFRS-Condition (formula);Disti Flag;Internet Transfer Flag;51...BNR only;POF min;Purchased Merchandise min;PL;HFG;FAC min;MD Process;PPOS Type;UM_ST  last 48 months;# of Main Customer per SP#;# of Main Customer per SP# (non-Disti);# of Main Customer per SP# (Disti);Value Chain Partner MC min;Value Chain Partner MC max;Value Chain Partnern MC other;UM_ST  last 12 months _ATV,IPC  by FGR;DIV;PL_FGR;# of Main Customer per FGR;Resale Revenue of Distributor [EUR] last 12 month;# of Final Customer;# of Final Main Customer;Volume;UM_ST 10-11;UM_ST 11-12;UM_ST 12-13;UM_ST 13-14;UM_ST 14-15;UM_ST 15-16;UM_ST 16-17;UM_ST 17-18;UM_ST 18-19;UM_ST 19-20;UM_ST 20-21;UM_ST 21-22;UM_ST 22-23;Orders on Hand [pcs] confirmed;Orders on Hand [pcs] unconfirmed;Forecasts [pcs];Volumen_BY;SBOP;Extract date;Extract Date (FP count);# of DSMP records;# of DSPLFL records;# of MTB002 records;# of DMOP records;Extract info;Filter
Division Desc_;BL Desc;Entrepreneur_;PL;PL Desc;ProductGroupSegment;HFG;PL_HFG_;Hfgr Short Descr_;FGR;PL_FGR_;Short Descr_;Long Descr_;Fgr Wsts Id1;Fgr Wsts Id2;Fgr Wsts Id3;SCP (max);SCP (min);MSAI AE Contact_;MSAI Marketing  Contact_;MSAI PRE Contact_;MSAI PRM Contact_;MSAI PRS Contact_;MSAI QM Contact_;MSAI SCM Contact_;MSAI TE Contact_;Basic Type (max);Basic Type (min);Package (max);Package (min);ASSY Loc (max);ASSY Loc (min);x;.CMAN Planner;.PPOS Type;.PPOS;.Basic Type Group_;.PPOS Package;x;Msai Rfp Code;Msai Rfp Name;.Del State (RFP);.Del State Date (RFP);..Qaulity Requirement Classification;x;Msai Prpr Sap Matnr;Msai Price Product Name;x;Msai Core Product;Msai Subito Transfer Flag;..Distribution Flag;..NC Flag;..NR date;..NDA required;..PM Approval Flag;..Product Classification Published (This Quarter);..Lead Time;..Package (CRM);..Completely Pb-free;..RoHS Compliance;..Halogen-free;x;ISPN Hierarchy Level1;ISPN Hierarchy Level2;ISPN Hierarchy Level3;ISPN Hierarchy Level4;ISPN Hierarchy Level5;ISPN Hierarchy Level6;Misp ISPN Hierarchy Count;ISP Hierarchy Node_;Msai Internet Sales Name;Internet Transfer Flag_;Buy Online Active Date_;Misp Hide Opn Details Flag;Internet Package Name_;.Package Material;.Package Category;.Package Lead A;x;Sales Name;SP-No;Opn_;Cyp Opn_;SPN different to MPN;Mif MD Process_max;Product Status Info_;Product Category_;Us Gov Category_;Msai Pb Free Flag;Msai Completely Pb Free Flag;Halogen Free Flag_;SP Package Name_;.Del State (SP#);.Del State Date (SP#);.Del State Year-Month (SP#);.Del State Year (SP#);SW Business Model Short_;SW Product Description_;;...FP assigned;# of active planning-only products;# of active engineering samples (SA#);# of active products (MA#);# of archived products (MA#);...Q Status (max);first M9 release date (by SPN);x;Large Packing Unit_;Min Order Factor_;Msai Min Shipping Factor;Functional Packing_;Moisture Prot Pack_;Trademark on BPL (max);x;Docu No Cancellation_;..Last Registration Date;Msai Last Order Date;..Last Order Date;LOD (a) - LOD (b)   [days];Last Delivery Date_;..Replacement Product;Customer Info_;Product Status Info_;Additional Product Info_;Nearest Equivalent_;Functional Safety_;x;Application_;Line Concept Be_;Line Concept Fe_;Main Family_;Marketing Name *;Planning Method_;Product Family_;Product Maturity_;Project_.;Technical Parameter_;Package Name Marketing_;Package Name Marketing (by PKN);Package Code Cypress_;Package Name Marketing_2;Hppos_;Descr_;Del Remark_;x;IFRS Reason_;Today different from (P);IFRS Reason (P)  2022-08-03;(P) different from (O);IFRS Reason (O)  2022-01-12;(O) different from (N);IFRS Reason (N)  2021-07-03;IFRS Reason Details_;IFRS Contract Expiry Date_;Remark_;IFRS Reason - PGS same as Formula ?;IFRS-Reason (formula);IFRS-Reason-Details (formula);IFRS-Candidate (formula);IFRS-Condition (formula);..Distribution Flag;Internet Transfer Flag_;51...BNR only;POF min;Purchased Merchandise min;PL;HFG;FAC min;Msai MD Process;.PPOS Type;UM_ST;# of Main Customer per SP#;# of Main Customer per SP# (non-Disti);# of Main Customer per SP# (Disti);...Value Chain Partner MC min;...Value Chain Partner MC max;...Value Chain Partnern MC other;UM_ST;DIV*;PL_FGR*;# of Main Customer per FGR;Revenue Resale EUR;# of Final Customer;# of Final Main Customer;x;UM_ST 10-11;UM_ST 11-12;UM_ST 12-13;UM_ST 13-14;UM_ST 14-15;UM_ST 15-16;UM_ST 16-17;UM_ST 17-18;UM_ST 18-19;UM_ST 19-20;UM_ST 20-21;UM_ST;UM_ST;AB_ST_DAY;AB_ST_DAY;SAP_FC_QTY;x;x;Extract date;...Extract Date (FP count);# of DSMP records;# of DSPLFL records;# of MTB002 records;# of DMOP records;Extract info;x
ATV;MS;CSC;95;FS;NOR;1;95_1;PNOR;Q25;95_Q25;S29AL016J7;S29AL016J70BFA01;M7Ad;;;VR;;Mandaliya Pritesh (IFMS FS APM AE2);Bahm Alexander (IFMS FS APM PM2);;;;Ohta Yusaku (IFMSJP QM MS);Vishweshwaraiah Rashmi (IFINS ATV SPM CMOP MS RAM);;C4544X;;PG-VFBGA-48-802;;;;;;Device;S29AL016J70BFA01;C4544;PG-VFBGA-48-802;;01HOQ;S29AL016J70BFA01;UNDEFINED;2021-06-28;AUTOMOTIVE;;PR005652194;SP00565219300002161729;;;Y;N;N;;N;;DESIGNIN;98;PG-VFBGA-48;Y;Y;Yes;;;;;;;;;;;N;;?;PG-VFBGA-48;PG;VFBGA;48;;00002161729;SP005652193;00002161729;00002161729;;CYP;discontinued;ASP;SM;Y;Y;Y;PG-VFBGA-48-802;UNDEFINED;2021-09-07;2021-09;2021;;;;x;;;1;;M11;2022-03-25;;2500;1;1;TAPE & REEL;DRY;;;;2022-09-30;2022-11-06;2022-11-06;1900-01-00;2023-08-16;S29AL016J70BFA013;HARMAN BECKER;discontinued;;S29AL016J70BFA013;NA;;A;CY_TH;FG110;NOR;;CY_US_FAB25;AL016J;In Production;ATV_MS-CY;;;;;....;1 - PNOR;;;;Alternative use;;Alternative use;;Alternative use;;;Finished product (SP#) will be sold to more than one Customer;;Cypress..initial..load;yes;Alternative use;AF: SP# could be sold to Main Customers who currently buy a similar product;no;n16;N;N;N;N;N;95;1;DCA;;Device;;;;;;;;133.350;ATV;95_Q25;8;;;;;;;;;;;;;;;;;;;;;;;2022-11-17;2022-11-17;278.654;58.363;123.269;26.299;DSMP, DSPLFL, MTB002, DMOP  extract: 2022-11-17  04:20;x
ATV;MS;CSC;95;FS;NOR;1;95_1;PNOR;A00;95_A00;S29GL032N9;S29GL032N90FFA04;M7Ae;;;FB;;Mandaliya Pritesh (IFMS FS APM AE2);Bahm Alexander (IFMS FS APM PM2);;;;Ohta Yusaku (IFMSJP QM MS);Bin Abu Seman Mohammad Fahmi (IFPG ATV SPM PEN MS);;C4563X;;PG-LFBGA-64-800;;;;;;Device;S29GL032N90FFA04;C4563;PG-LFBGA-64-800;;01HNA;S29GL032N90FFA04;UNDEFINED;2021-06-28;AUTOMOTIVE;;PR005652196;SP00565219500002161745;;;Y;N;Y;05.07.2021;N;;DESIGNIN;98;PG-LFBGA-64;Y;Y;Yes;;;;;;;;;;;N;;?;PG-LFBGA-64;PG;LFBGA;64;;00002161745;SP005652195;00002161745;00002161745;;CYP;discontinued;ASP;SM;Y;Y;Y;PG-LFBGA-64-800;UNDEFINED;2021-09-07;2021-09;2021;;;;x;;;1;;M11;2022-03-25;;1600;1;1;TAPE & REEL;DRY;;;PTN204702;2022-09-30;2022-06-30;2022-06-30;1900-01-00;2022-12-30;;HARMAN BECKER;discontinued;;;NA;;A;CY_TH;CS119S;NOR;;;GL032N;Discontinued;ATV_MS-CY;;;;;....;1 - PNOR;;LDD22;;Alternative use;;Alternative use;;Alternative use;;;Finished product (SP#) will be sold to more than one Customer;;Cypress..initial..load;no;( Product for manual classification );;???;?3;N;N;N;N;N;95;1;DCA;;Device;;;;;;;;;ATV;95_A00;;;;;;;;;;;;;;;;;;;;;;;;2022-11-17;2022-11-17;278.654;58.363;123.269;26.299;DSMP, DSPLFL, MTB002, DMOP  extract: 2022-11-17  04:20;x
ATV;MS;CSC;95;FS;NOR;1;95_1;PNOR;S66;95_S66;S29GL064N9;S29GL064N90FFA02;M7Af;;;;;Mandaliya Pritesh (IFMS FS APM AE2);Bahm Alexander (IFMS FS APM PM2);;;;Ohta Yusaku (IFMSJP QM MS);Bin Abu Seman Mohammad Fahmi (IFPG ATV SPM PEN MS);;C4564X;;PG-LFBGA-64-800;;;;;;Device;S29GL064N90FFA02;C4564;PG-LFBGA-64-800;;01HQB;S29GL064N90FFA02;UNDEFINED;2021-06-28;AUTOMOTIVE;;PR005652200;SP00565219900002161761;;;Y;N;Y;05.07.2021;N;;DESIGNIN;98;PG-LFBGA-64;Y;Y;Yes;;;;;;;;;;;N;;?;PG-LFBGA-64;PG;LFBGA;64;;00002161761;SP005652199;00002161761;00002161761;;CYP;discontinued;ASP;SM;Y;Y;Y;PG-LFBGA-64-800;UNDEFINED;2021-09-07;2021-09;2021;;;;x;;;1;;M11;2022-03-25;;1600;1;1;TAPE & REEL;DRY;;;PTN204702;2022-09-30;2022-06-30;2022-06-30;1900-01-00;2022-12-30;;HARMAN BECKER;discontinued;;;NA;;A;CY_TH;MB110;NOR;;CY_US_FAB25;GL064N;Discontinued;ATV_MS-CY;;;;;....;1 - PNOR;;;;Alternative use;;Alternative use;;Alternative use;;;Finished product (SP#) will be sold to more than one Customer;;Cypress..initial..load;no;Practical limitation;;yes?;?1;N;N;N;N;N;95;1;DCA;;Device;1.600;1;1;;EMS;;;1.600;ATV;95_S66;1;;;;;;;;;;;;;;;;1.600;;;;;;;2022-11-17;2022-11-17;278.654;58.363;123.269;26.299;DSMP, DSPLFL, MTB002, DMOP  extract: 2022-11-17  04:20;x
ATV;MS;CSC;95;FS;NOR;1;95_1;PNOR;A01;95_A01;S29GL512N1;S29GL512N11FFA02;M7Ah;;;VC;;Mandaliya Pritesh (IFMS FS APM AE2);Bahm Alexander (IFMS FS APM PM2);;;;Ohta Yusaku (IFMSJP QM MS);V C Aravindan (IFINS ATV SPM CMOP ST);;C4567X;;PG-LFBGA-64-800;;;;;;Device;S29GL512N11FFA02;C4567;PG-LFBGA-64-800;;01HNB;S29GL512N11FFA02;UNDEFINED;2021-06-28;AUTOMOTIVE;;PR005652204;SP00565220300002161796;;;Y;N;Y;01.10.2021;N;;DESIGNIN;0;PG-LFBGA-64;U;Y;No;;;;;;;;;;;N;;?;PG-LFBGA-64;PG;LFBGA;64;;00002161796;SP005652203;00002161796;00002161796;;CYP;discontinued;ASP;SM;Y;U;N;PG-LFBGA-64-800;UNDEFINED;2021-09-07;2021-09;2021;;;;x;;;;1;;2022-03-25;;1600;1;1;TAPE & REEL;DRY;;;PTN204702;2022-09-30;2021-10-30;2021-10-30;1900-01-00;2022-05-16;S29GL512S11FHB023;HARMAN BECKER;discontinued;;S29GL512S11FHB023;NA;;A;CY_TH;MB110;NOR;;CY_US_FAB25;GL512N;Discontinued;ATV_MS-CY;;;;;....;1 - PNOR;;;;Alternative use;;Alternative use;;Alternative use;;;Finished product (SP#) will be sold to more than one Customer;;Cypress..initial..load;yes;Alternative use;AF: SP# could be sold to Main Customers who currently buy a similar product;no;n16;N;N;N;N;N;95;1;DCA;;Device;;;;;;;;44.760;ATV;95_A01;3;;;;;;;;;;;;;;;;;;;;;;;2022-11-17;2022-11-17;278.654;58.363;123.269;26.299;DSMP, DSPLFL, MTB002, DMOP  extract: 2022-11-17  04:20;x
ATV;MS;CSC;95;FS;NOR;1;95_1;PNOR;A02;95_A02;S29AS008J7;S29AS008J70BFA04;M7Ac;;;T1;;Mandaliya Pritesh (IFMS FS APM AE2);Bahm Alexander (IFMS FS APM PM2);;;;Ohta Yusaku (IFMSJP QM MS);Tewari Reetika (IFINS ATV SPM CMOP MS RAM);;C4535X;;PG-VFBGA-48-802;;;;;;Device;S29AS008J70BFA04;C4535;PG-VFBGA-48-802;;01HNC;S29AS008J70BFA04;UNDEFINED;2021-06-28;AUTOMOTIVE;;PR005652208;SP00565220700002170345;;;Y;N;Y;01.10.2021;N;;DESIGNIN;0;PG-VFBGA-48;Y;Y;Yes;;;;;;;;;;;N;;?;PG-VFBGA-48;PG;VFBGA;48;;00002170345;SP005652207;00002170345;00002170345;;CYP;discontinued;ASP;SM;Y;Y;Y;PG-VFBGA-48-802;UNDEFINED;2021-09-07;2021-09;2021;;;;x;;;;1;;2022-03-25;;800;1;1;TAPE & REEL;DRY;;;PTN181204;2018-09-30;2019-06-25;2019-06-25;1900-01-00;2019-09-30;;HARMAN BECKER;discontinued;;;NA;;A;CY_TH;"CS69S; CS69LSS";NOR;;;AS008J;Discontinued;ATV_MS-CY;;;;;....;1 - PNOR;;;;Alternative use;;Alternative use;;Alternative use;;;Finished product (SP#) will be sold to more than one Customer;;Cypress..initial..load;no;( Product for manual classification );;???;?3;N;N;N;N;N;95;1;DCA;;Device;;;;;;;;;ATV;95_A02;;;;;;;;;;;;;;;;;;;;;;;;2022-11-17;2022-11-17;278.654;58.363;123.269;26.299;DSMP, DSPLFL, MTB002, DMOP  extract: 2022-11-17  04:20;x
