id;distributorName
0;AGASTYA
1;ALLTEK
2;ARROW
3;AVNET
4;CHANGNAM
5;CHIP ONE STOP
6;COMPEL
7;DABO
8;DIGI-KEY
9;FLIP
10;FT INDUSTRIAL
11;FUJITSU ELECTRONICS
12;FUTURE
13;GLYN
14;HAKUTO
15;HOI LOON
16;INTRON
17;JINGCHUAN
18;LIERDA
19;MACNICA
20;MARUBUN
21;MELCHIONI
22;MILLENNIUM
23;MOUSER
24;MULTIWAVE
25;NEXTY
26;NISKO
27;P&S
28;ROCHESTER
29;RS COMPONENTS
30;RUTRONIK
31;SUNRAY ELECTRONICS
32;SYMMETRON
33;TOKYO ELECTRON DEVICE
34;UNIQUEST
35;UNOTEL
36;WEIKENG
37;WORLDSHINE
38;WPG
39;XIAMEN HOLDER
40;YUBAN
41;ZENITRON
