PPOS;rfp;HFG;salesName
DUMMY_58_A;DAISY CHAIN WAFER;A;A2G_OPM
DUMMY_58_A;DAISY CHAIN WAFER;A;DAISY CHAIN WAFER
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S;X;FBGA-516-TRAY
SAB-TC497XP_292_CUP_COM;SAA-TC497XP-24HO400CC;Y;SAA-TC497XE-24HO400CC AA
SAB-TC497XP_292_CUP_COM;SAA-TC497XP-24HO400CC;Y;SAA-TC497XP-24HO400CC AA
SAB-TC499XP_436_CUP_COM;SAA-TC499XP-24HO400CC;Y;SAA-TC499XE-24HO400CC AA
SAB-TC4D7XP_292_CUP_COM;SAA-TC4D7XP-20MF500CC;Y;SAA-TC4D7XP-20MF500CC AA
SAB-TC4D7XP_292_MOD_COM;SAA-TC4D7XP-20MF500MC;Y;SAA-TC4D7XP-20MF500MC AA
SAB-TC4D9XP_436_CUP_COM;SAA-TC4D9XP-20MF500CC;Y;SAA-TC4D9XP-20MF500CC AA
SAB-TC4D9XP_436_MOD_COM;SAA-TC4D9XP-20MF500MC;Y;SAA-TC4D9XP-20MF500MC AA
SAB-TC1387A-392F150EF_CU;SAK-TC1337A-136F150EF_CU;A;SAK-TC1337A-136F150EF AA
SAB-TC1387A-392F150EF_CU;SAK-TC1367A-264F150EF_CU;A;SAK-TC1367A-264F150EF AA
SAB-TC1387A-392F180EF_CU;SAK-TC1387A-392F180EF_CU;A;SAK-TC1387A-392F180EF AA
SAB-TC1387ED-392FEB;SAK-TC1387ED-392FEB;A;SAK-TC1387ED-392F150EBAA
SAB-TC1724ED-192FH;SAK-TC1724ED-192FH;A;SAK-TC1724ED-192F133HLAB
SAB-TC1724-192FHR_CU;SAK-TC1724F-192FHR;A;SAK-TC1724F-192F133HR AB
SAB-TC1724-192FF_CU;SAK-TC1724F-192F;A;SAK-TC1724F-192F133HR AC
SAB-TC1724-192FF_CU;SAK-TC1724N-192F;A;SAK-TC1724N-192F133HR AC
SAB-TC1724-192FHR_CU;SAK-TC1724N-192FHR;A;SAK-TC1724N-192F80HR AB
SAB-TC1724-192FF_CU;SAK-TC1724N-192F;A;SAK-TC1724N-192F80HR AC
SAB-TC1728ED-192FH;SAB-TC1728ED-192FH;A;SAK-TC1728ED-192F133HLAB
SAB-TC1728-192FF_CU;SAK-TC1728F-192F;A;SAK-TC1728F-192F133HR AC
SAB-TC1728-192FF_CU;SAK-TC1728N-192F;A;SAK-TC1728N-192F133HR AC
SAB-TC1728-192FF_CU;SAK-TC1728N-192F;A;SAK-TC1728N-192F133HR AC
SAB-TC1728-192FF_CU;SAK-TC1728N-192F;A;SAK-TC1728N-192F133HR AC
SAB-TC1736-128FHL;SAK-TC1736-128FHL;A;SAK-TC1736-128F80HL AA
SAB-TC1736ED-128FHL;SAB-TC1736ED-128FHL;A;SAK-TC1736ED-128F80HL AA
SAB-TC1767-256FHL;SAK-TC1738-256FHL;A;SAK-TC1738-192F80HL AD
SAB-TC1766-192FHL_AU;SAK TC1762-128F80HL_AU;A;SAK-TC1762-128F66HL AC
SAB-TC1766-192FHL_AU;SAK TC1762-128F80HL_AU;A;SAK-TC1762-128F66HL AC
SAB-TC1766-192FHL_AU;SAK TC1762-128F80HL_AU;A;SAK-TC1762-128F66HL AC
SAB-TC1766-192FHL;SAK TC1766-192F80HL;A;SAK-TC1766-192F80HL BD
SAB-TC1766-192FHL_AU;SAB-TC1766-192FHL_AU;A;SAK-TC1766-192F80HL BD
SAB-TC1766ED-192FHL;SAK-TC1766ED-192FHL;A;SAK-TC1766ED-192F80HL BB
SAB-TC1767-256FHL;SAK-TC1767-256FHLF;A;SAK-TC1767-256F133HL AD
SAB-TC1767-256FHL;SAK-TC1767-256FHLF;A;SAK-TC1767-256F133HL AD
SAB-TC1767-256FHL;SAK-TC1767-256FHLF;A;SAK-TC1767-256F133HL AD
SAB-TC1767-256FHL;SAK-TC1767-256FHLF;A;SAK-TC1767-256F133HL AD
SAB-TC1767-256FHR_CU;SAK-TC1767-256F133_CU;A;SAK-TC1767-256F133HR AD
SAB-TC1767-256FHR_CU;SAK-TC1767-256F133_CU;A;SAK-TC1767-256F133HR AD
SAB-TC1767-256FHX;SAK-TC1767-256FHX;A;SAK-TC1767-256F133HX AD
SAB-TC1767-256FHL;SAK-TC1767-256FHL;A;SAK-TC1767-256F80HL AD
SAB-TC1767-256FHR_CU;SAK-TC1767-256F80_CU;A;SAK-TC1767-256F80HR AD
SAB-TC1767ED-256FHL;SAK-TC1767ED-256FHL;A;SAK-TC1767ED-256F133HLAD
SAB-TC1782ED-320FHL;SAK-TC1782ED-320FHL;A;SAK-TC1782ED320F180HL AC
SAB-TC1782-320FHL;SAK-TC1782-320FHL;A;SAK-TC1782F-320F160HL BA
SAB-TC1782-320FF_CU;SAK-TC1782F-320F;A;SAK-TC1782F-320F160HR BA
SAB-TC1782-320FHR_CU;SAK-TC1782F-320FHR;A;SAK-TC1782F-320F160HR BA
