;;;;;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_QTY;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST_ASP;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;PM_FC_VIST;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_QTY;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST_ASP;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;S_FC_VIST;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_QTY;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT_ASP;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;REV+UC_POT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Values;FISCAL_YEAR;FISCAL_QUARTER;CALENDAR_MONTH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;PM_FC_VIST_QTY;;;;;;;;;;;;;;;;;;;;;;;;;PM_FC_VIST_ASP;;;;;;;;;;;;;;;;;;;;;;;;;PM_FC_VIST;;;;;;;;;;;;;;;;;;;;;;;;;S_FC_VIST_QTY;;;;;;;;;;;;;;;;;;;;;;;;;S_FC_VIST_ASP;;;;;;;;;;;;;;;;;;;;;;;;;S_FC_VIST;;;;;;;;;;;;;;;;;;;;;;;;;REV+UC_POT_QTY;;;;;;;;;;;;;;;;;;;;;;;;;REV+UC_POT_ASP;;;;;;;;;;;;;;;;;;;;;;;;;REV+UC_POT;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total;20_21;20_21;20_21;20_21 Total;21_22;21_22;21_22;21_22;21_22;21_22;21_22;21_22 Total;22_23;22_23;22_23;22_23;22_23 Total;23_24;23_24;23_24;23_24;23_24 Total;24_25;24_25;24_25 Total
;;;;;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;;20_21Q2;20_21Q3;20_21Q4;;21_22Q1;21_22Q1;21_22Q1;21_22Q1 Total;21_22Q2;21_22Q3;21_22Q4;;22_23Q1;22_23Q2;22_23Q3;22_23Q4;;23_24Q1;23_24Q2;23_24Q3;23_24Q4;;24_25Q1;24_25Q2;
PL;HFG_DESC;RFP;MC_NAME;EC_NAME;DP_CUSTOMER;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;;;;;;2021-10;2021-11;2021-12;;;;;;;;;;;;;;;;;;
58;58_1;SAF C164CM-4EF [AB];AVNET;AVNET;other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;58_1;SAF C164CM-4EF [AB];AVNET;AVNET Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;58_1;SAF C164CM-4EF [AB];ROCHESTER;ROCHESTER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;58_1;SAF C164CI-8EM [CB];ARROW;ARROW;;1;;;1;;;;;;;;;;;;;;;;;;;;;;-12289,58;;;-12289,58;;;;;;;;;;;;;;;;;;;;;;-9.990;;;-19.290;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;-12289,58;;;-12289,58;;;;;;;;;;;;;;;;;;;;;;-12.290;;;-12.290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.290;;;-12.290;;;;;;;;;;;;;;;;;;;;;
