;years;weightedVolumes;weightedGrossMargin;weightedRevenues;asp;volumes;grossMargin
0;2020;404276,0;404276,4;404276,4;1,0;460426,0;0,0
1;2021;2021383,0;2021383,8;2021383,8;1,0;2302135,0;0,0
2;2022;5053459,0;5053459,5;5053459,5;1,0;5755338,0;0,0
3;2023;8422433,0;8422433,1;8422433,1;1,0;9592229,0;0,0
4;2024;23771661,0;37015281,6;37015281,6;3,0;12211008,0;0,0
5;2025;23771661,0;37015281,6;37015281,6;3,0;12210998,0;0,0
6;2026;15395148,0;22016928,3;22016928,3;3,0;10102264,0;0,0
7;2027;8473911,0;10681131,0;10681131,0;3,0;7173860,0;0,0
8;2028;4468442,0;5020202,1;5020202,1;3,0;4469865,0;0,0
9;2029;2286274,0;2396614,5;2396614,5;3,0;2479986,0;0,0
10;2030;0,0;0,0;0,0;0,0;0,0;0,0
11;2031;0,0;0,0;0,0;0,0;0,0;0,0
12;2032;0,0;0,0;0,0;0,0;0,0;0,0
13;2034;0,0;0,0;0,0;0,0;0,0;0,0
14;2035;0,0;0,0;0,0;0,0;0,0;0,0
15;2036;0,0;0,0;0,0;0,0;0,0;0,0
16;2037;0,0;0,0;0,0;0,0;0,0;0,0
17;2038;0,0;0,0;0,0;0,0;0,0;0,0
18;2039;0,0;0,0;0,0;0,0;0,0;0,0
19;2040;0,0;0,0;0,0;0,0;0,0;0,0
20;2041;0,0;0,0;0,0;0,0;0,0;0,0
21;2042;0,0;0,0;0,0;0,0;0,0;0,0
22;2043;0,0;0,0;0,0;0,0;0,0;0,0
23;2044;0,0;0,0;0,0;0,0;0,0;0,0
24;2045;0,0;0,0;0,0;0,0;0,0;0,0
