;years;weightedVolumes;weightedGrossMargin;weightedRevenues;asp;volumes;grossMargin
0;2020;451117,0;0,0;1804468,8;4,0;751862,0;0,0
1;2021;902235,0;0,0;3608940,0;4,0;1503725,0;0,0
2;2022;902235,0;0,0;3608940,0;4,0;1503725,0;0,0
3;2023;601489,0;0,0;2405959,2;4,0;1002483,0;0,0
4;2024;300744,0;0,0;1202978,4;4,0;501241,0;0,0
5;2025;254721,0;0,0;1691014,5;13,0;349857,0;0,0
6;2026;443373,0;0,0;4193143,8;14,0;514915,0;0,0
7;2027;616368,0;0,0;6094950,6;14,0;691219,0;0,0
8;2028;607775,0;0,0;6060580,2;14,0;676898,0;0,0
9;2029;454320,0;0,0;4539390,0;14,0;505154,0;0,0
10;2030;0,0;0,0;0,0;0,0;0,0;0,0
11;2031;0,0;0,0;0,0;0,0;0,0;0,0
12;2032;0,0;0,0;0,0;0,0;0,0;0,0
13;2034;0,0;0,0;0,0;0,0;0,0;0,0
14;2035;0,0;0,0;0,0;0,0;0,0;0,0
15;2036;0,0;0,0;0,0;0,0;0,0;0,0
16;2037;0,0;0,0;0,0;0,0;0,0;0,0
17;2038;0,0;0,0;0,0;0,0;0,0;0,0
18;2039;0,0;0,0;0,0;0,0;0,0;0,0
19;2040;0,0;0,0;0,0;0,0;0,0;0,0
20;2041;0,0;0,0;0,0;0,0;0,0;0,0
21;2042;0,0;0,0;0,0;0,0;0,0;0,0
22;2043;0,0;0,0;0,0;0,0;0,0;0,0
23;2044;0,0;0,0;0,0;0,0;0,0;0,0
24;2045;0,0;0,0;0,0;0,0;0,0;0,0
